1	6	33
1	25	60
1	24	55
1	23	30
1	8	110
1	4	46
1	22	33
1	21	26
2	41	45
2	40	60
2	39	53
2	43	160
3	21	50
3	27	40
3	28	160
4	1	41
4	22	22
4	23	46
4	30	70
4	8	86
4	29	56
4	7	58
4	28	60
5	11	68
5	32	82
5	10	52
5	31	56
5	9	52
5	30	60
5	23	45
5	24	33
6	1	31
6	12	45
6	25	40
6	21	39
7	28	40
7	29	45
7	15	83
7	36	52
7	27	43
8	1	150
8	22	110
8	23	86
8	30	85
8	9	83
8	38	83
8	48	102
8	37	52
8	29	53
9	31	45
9	38	38
9	48	78
10	32	46
10	49	47
10	31	37
10	11	76
11	5	68
11	33	80
11	16	56
11	32	67
11	25	55
11	12	68
12	11	71
12	17	51
12	33	53
12	25	43
12	26	33
12	34	60
12	18	84
13	34	63
13	26	43
13	27	42
13	35	33
14	36	50
14	46	76
15	7	77
15	8	59
15	29	54
15	37	40
15	47	82
16	50	54
16	32	60
16	33	52
17	39	47
17	33	57
17	34	79
18	34	39
19	42	20
19	35	57
20	43	180
20	44	45
20	45	200
21	1	32
21	3	59
21	6	45
21	22	37
21	27	50
22	1	27
22	4	20
22	23	45
22	28	60
23	4	51
23	5	41
23	24	34
23	30	57
24	5	37
24	23	33
25	6	37
25	11	54
25	12	52
25	33	69
25	26	48
26	12	31
26	13	43
26	34	44
27	3	36
27	7	41
28	4	49
28	29	70
29	4	61
29	7	45
29	30	110
29	37	64
29	36	84
30	5	69
30	38	67
30	48	95
31	9	51
31	10	33
31	38	64
32	10	43
32	11	69
32	50	86
32	49	94
33	16	50
33	17	51
33	50	65
33	39	66
33	40	97
34	18	35
34	12	41
34	13	49
35	13	21
35	19	57
35	42	57
35	43	160
36	7	51
36	14	49
36	37	120
37	7	91
37	8	47
37	48	130
37	47	94
38	9	31
38	49	100
38	48	84
39	2	64
39	17	47
39	40	36
39	50	92
40	2	51
40	50	100
41	50	200
41	42	160
41	43	200
42	19	23
42	43	150
43	2	160
43	18	171
43	20	180
43	50	330
44	20	200
45	20	45
45	46	210
46	14	76
46	47	240
47	15	79
47	48	170
48	8	96
48	49	140
49	10	51
49	50	160
50	16	51
